大类,子类,文件路径,代码片段,硬编码内容,使用场景,潜在问题,优化建议,意见
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L21,`Math.random() * 1000`,`1000`,PerlinNoise 输入范围,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L46,`const DEFAULT_VELOCITY = 90`,`90`,默认 MIDI 力度,魔法数字,已为常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L209,`Math.min(window.devicePixelRatio \,\,"1, 2)`",`2`,DPR 上限,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L211,"`Math.max(80, Math.floor(height * kbRatio))`",`80`,键盘最小高度,魔法数字,提取为 `MIN_KEYBOARD_HEIGHT` 常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L402,`0.4 + (velocity / 127) * 0.3`,"`0.4, 0.3, 127`",splat 亮度计算,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L416,`let dy = 200`,`200`,splat 默认 dy,魔法数字,提取为 `DEFAULT_SPLAT_DY` 常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L419-420,`* 0.02`,`0.02`,positionJitter 系数,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L446,"`hslToRgbNorm(hue, 0.9, 0.6)`","`0.9, 0.6`",hitExplosion 颜色参数,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L457,`spread * 5000`,`5000`,hitExplosion 力度系数,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L458,`let colorMul = 0.7`,`0.7`,hitExplosion 颜色倍率,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L475,`force * 0.6`,`0.6`,hitExplosion 左右 splat 力度比例,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L490,`const FLUID_SKIP_FRAMES = 1`,`1`,流体降帧帧数,魔法数字,已为常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L520,"`ctx.font = ""bold 12px monospace""`","`""bold 12px monospace""`",FPS 显示字体,硬编码字体,提取为常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L521,"`ctx.fillStyle = ""rgba(255, 255, 255, 0.8)""`","`""rgba(255, 255, 255, 0.8)""`",FPS 显示颜色,硬编码颜色,提取为常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L522,"`ctx.shadowColor = ""rgba(0, 0, 0, 0.5)""`","`""rgba(0, 0, 0, 0.5)""`",FPS 显示阴影色,同上,同上,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L523,`ctx.shadowBlur = 4`,`4`,FPS 显示阴影模糊,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L524,"`ctx.fillText(\`FPS: ${...}\`, 10, 20)`","`10, 20`",FPS 显示位置,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L549,"`hslToRgbNorm(hue, 0.8, 0.4)`","`0.8, 0.4`",sustainedSplat 颜色参数,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L560,`let dy = 60`,`60`,sustainedSplat 默认 dy,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L561,`let colorMul = 0.4`,`0.4`,sustainedSplat 颜色倍率,同上,同上,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L598,"`hslToRgbNorm(hue, 0.8, 0.5)`","`0.8, 0.5`",blockCoverage 颜色参数,同上,同上,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L609,`let dy = -20`,`-20`,blockCoverage 默认 dy,同上,同上,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L610,`let colorMul = 0.3`,`0.3`,blockCoverage 颜色倍率,同上,同上,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L636,`now - lastPerfLog > 1000`,`1000`,性能日志间隔,魔法数字,提取为 `PERF_LOG_INTERVAL` 常量,
八、WaterfallPiano 引擎群（补充）,6. WaterfallEngine,`src/views/WaterfallPiano/engine/WaterfallEngine.ts` L761-763,`parseInt(...) \,\,0) / 255`,`255`,hex→rgb 归一化系数,
八、WaterfallPiano 引擎群（补充）,7. SoundEngine,`src/views/WaterfallPiano/audio/SoundEngine.ts` L4,`const DEFAULT_VOLUME = 0.8`,`0.8`,默认音量,魔法数字,已为常量,
八、WaterfallPiano 引擎群（补充）,7. SoundEngine,`src/views/WaterfallPiano/audio/SoundEngine.ts` L5,`const DEFAULT_REVERB_DECAY = 2`,`2`,默认混响衰减,魔法数字,已为常量,
八、WaterfallPiano 引擎群（补充）,7. SoundEngine,`src/views/WaterfallPiano/audio/SoundEngine.ts` L6,`const DEFAULT_REVERB_WET = 0.3`,`0.3`,默认混响湿度,魔法数字,已为常量,
八、WaterfallPiano 引擎群（补充）,7. SoundEngine,`src/views/WaterfallPiano/audio/SoundEngine.ts` L84-88,"`envelope = { attack: 0.002, decay: 0.3, sustain: 0.3, release: 1.0 }`","`0.002, 0.3, 0.3, 1.0`",默认包络参数,魔法数字,提取为 `DEFAULT_ENVELOPE` 常量,
八、WaterfallPiano 引擎群（补充）,7. SoundEngine,`src/views/WaterfallPiano/audio/SoundEngine.ts` L89-93,"`modEnvelope = { attack: 0.005, decay: 0.5, sustain: 0.2, release: 0.5 }`","`0.005, 0.5, 0.2, 0.5`",默认调制包络,同上,提取为 `DEFAULT_MOD_ENVELOPE` 常量,
八、WaterfallPiano 引擎群（补充）,7. SoundEngine,`src/views/WaterfallPiano/audio/SoundEngine.ts` L97,`harmonicity: c.harmonicity ?? 2`,`2`,默认谐波性,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,7. SoundEngine,`src/views/WaterfallPiano/audio/SoundEngine.ts` L98,`modulationIndex: c.modulationIndex ?? 10`,`10`,默认调制指数,同上,同上,
八、WaterfallPiano 引擎群（补充）,7. SoundEngine,`src/views/WaterfallPiano/audio/SoundEngine.ts` L99,"`oscillatorType: c.oscillatorType ?? ""triangle""`","`""triangle""`",默认振荡器类型,字符串硬编码,提取为常量,
八、WaterfallPiano 引擎群（补充）,7. SoundEngine,`src/views/WaterfallPiano/audio/SoundEngine.ts` L104,"`modulation: { type: ""sine"" }`","`""sine""`",调制振荡器类型,同上,同上,
八、WaterfallPiano 引擎群（补充）,7. SoundEngine,`src/views/WaterfallPiano/audio/SoundEngine.ts` L107,`this.synth.maxPolyphony = 64`,`64`,最大复音数,魔法数字,提取为 `MAX_POLYPHONY` 常量,
八、WaterfallPiano 引擎群（补充）,7. SoundEngine,`src/views/WaterfallPiano/audio/SoundEngine.ts` L124,`Math.abs(currentDecay - config.reverbDecay) > 0.5`,`0.5`,混响衰减差异阈值,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,7. SoundEngine,`src/views/WaterfallPiano/audio/SoundEngine.ts` L149,`velocity / 127`,`127`,MIDI 力度归一化,合理（MIDI 协议固定值）,保持现状,
八、WaterfallPiano 引擎群（补充）,7. SoundEngine,`src/views/WaterfallPiano/audio/SoundEngine.ts` L149,`0.8`,`0.8`,力度灵敏度关闭时默认力度,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,8. Recorder,`src/views/WaterfallPiano/audio/Recorder.ts` L57,`info.startTime / 1000`,`1000`,ms→s 转换,合理,保持现状,
八、WaterfallPiano 引擎群（补充）,8. Recorder,`src/views/WaterfallPiano/audio/Recorder.ts` L181,"`hand: n.hand ?? ""unknown""`","`""unknown""`",默认手别,字符串硬编码,提取为常量,
八、WaterfallPiano 引擎群（补充）,8. Recorder,`src/views/WaterfallPiano/audio/Recorder.ts` L182,`trackIndex: -1`,`-1`,默认轨道索引（占位）,魔法数字,提取为 `PLACEHOLDER_TRACK_INDEX` 常量,
八、WaterfallPiano 引擎群（补充）,9. useRealtimeMidi,`src/views/WaterfallPiano/composables/useRealtimeMidi.ts` L29,`message.length < 2`,`2`,MIDI 消息最小长度,魔法数字,提取为 `MIN_MIDI_MSG_LEN` 常量,
八、WaterfallPiano 引擎群（补充）,9. useRealtimeMidi,`src/views/WaterfallPiano/composables/useRealtimeMidi.ts` L30,`message[0] & 0xf0`,`0xf0`,MIDI 状态字节掩码,合理（MIDI 协议固定值）,保持现状,
八、WaterfallPiano 引擎群（补充）,9. useRealtimeMidi,`src/views/WaterfallPiano/composables/useRealtimeMidi.ts` L34,`status === 0x90 && velocity > 0`,`0x90`,Note On 状态字节,同上,同上,
八、WaterfallPiano 引擎群（补充）,9. useRealtimeMidi,`src/views/WaterfallPiano/composables/useRealtimeMidi.ts` L38,`status === 0x80`,`0x80`,Note Off 状态字节,同上,同上,
八、WaterfallPiano 引擎群（补充）,9. useRealtimeMidi,`src/views/WaterfallPiano/composables/useRealtimeMidi.ts` L42,`status === 0xb0`,`0xb0`,CC 状态字节,同上,同上,
八、WaterfallPiano 引擎群（补充）,9. useRealtimeMidi,`src/views/WaterfallPiano/composables/useRealtimeMidi.ts` L45,`controller === 64`,`64`,延音踏板 CC 编号,同上,同上,
八、WaterfallPiano 引擎群（补充）,9. useRealtimeMidi,`src/views/WaterfallPiano/composables/useRealtimeMidi.ts` L46,`value >= 64`,`64`,延音踏板触发阈值,同上,同上,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L46-127,5 个 SVG 图标路径,SVG path 数据,窗口控制按钮图标,长字符串硬编码,提取为独立 SVG 组件,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L185-187,"`currentLatency.value < 10, < 30`","`10, 30`",延迟状态阈值,魔法数字,"提取为 `LATENCY_GOOD_THRESHOLD, LATENCY_WARN_THRESHOLD` 常量",
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L199-201,`navItems` 数组,"`""/home"", ""nav.home"", ""home"", ""/chord-dictionary"", ""nav.chordDictionary"", ""book""`",导航项配置,路径/i18n key/图标名散布,提取为路由配置数据,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L266,`height: 40px; min-height: 40px;`,`40px`,导航栏高度,像素值硬编码,提取为 CSS 变量,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L269,`padding: 0 8px; gap: 4px;`,"`8px, 4px`",导航栏内边距/间距,同上,同上,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L280,`width: 78px`,`78px`,macOS 交通灯占位宽度,同上,同上,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L316-317,`width: 32px; height: 32px;`,`32px`,操作按钮尺寸,同上,同上,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L318,`border-radius: 8px`,`8px`,操作按钮圆角,同上,同上,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L340-342,`width: 24px; height: 24px;`,`24px`,状态指示器尺寸,同上,同上,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L348-349,`width: 8px; height: 8px;`,`8px`,延迟圆点尺寸,同上,同上,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L369-370,`width: 10px; height: 10px;`,`10px`,脉冲指示器尺寸,同上,同上,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L372,`animation: status-pulse 1.5s ease-in-out infinite`,`1.5s`,脉冲动画时长,同上,同上,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L414-415,`width: 36px; height: 28px;`,"`36px, 28px`",窗口控制按钮尺寸,同上,同上,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L423,`border-radius: 4px`,`4px`,窗口控制按钮圆角,同上,同上,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L432,`background-color: #e81123`,`#e81123`,关闭按钮 hover 色（Windows 红）,硬编码颜色,提取为 CSS 变量,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L436,`@media (max-width: 768px)`,`768px`,移动端断点,与 Tailwind 断点需一致,提取为共享断点常量,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L438-439,`height: 36px; min-height: 36px;`,`36px`,移动端导航栏高度,像素值硬编码,提取为 CSS 变量,
九、布局与导航组件（补充）,1. AppNavbar,`src/views/Layout/AppNavbar.vue` L454,`width: 68px`,`68px`,移动端 macOS 占位宽度,同上,同上,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/Home.vue` L11-13,"`:to=""\`/chords/${module.id}\`"", :settings-to=""\`/settings/chords/${module.id}\`""`","`""/chords/"", ""/settings/chords/""`",路由路径模板,路径硬编码,提取为路由配置,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/Home.vue` L15,"`icon=""mdi-piano""`","`""mdi-piano""`",MDI 图标名,字符串硬编码,已通过 ModuleCard 映射,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/Home.vue` L18-19,"`to=""/chord-dictionary"", settings-to=""/settings/chord-dictionary""`","`""/chord-dictionary"", ""/settings/chord-dictionary""`",路由路径,同上,同上,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/Home.vue` L22,"`icon=""mdi-book-open-page-variant""`","`""mdi-book-open-page-variant""`",MDI 图标名,同上,同上,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/Home.vue` L25-26,"`to=""/waterfall-piano"", settings-to=""/settings/waterfall-piano""`","`""/waterfall-piano"", ""/settings/waterfall-piano""`",路由路径,同上,同上,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/Home.vue` L29,"`icon=""mdi-piano""`","`""mdi-piano""`",MDI 图标名,同上,同上,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/Home.vue` L32-33,"`to=""/settings/routing"", settings-to=""/settings/routing""`","`""/settings/routing""`",路由路径,同上,同上,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/Home.vue` L35,"`icon=""mdi-swap-horizontal""`","`""mdi-swap-horizontal""`",MDI 图标名,同上,同上,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/Home.vue` L38-39,"`to=""/settings/debug"", settings-to=""/settings/debug""`","`""/settings/debug""`",路由路径,同上,同上,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/Home.vue` L41,"`icon=""mdi-bug""`","`""mdi-bug""`",MDI 图标名,同上,同上,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/components/ModuleCard.vue` L3-7,"`:initial=""{ opacity: 0, y: 12 }"", :animate=""{ opacity: 1, y: 0 }""`","`0, 12, 1, 0`",动画初始/结束值,魔法数字,提取为动画常量,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/components/ModuleCard.vue` L5,"`:transition=""{ duration: 0.3, ease: [0.2, 0.8, 0.2, 1] }""`","`0.3, [0.2, 0.8, 0.2, 1]`",动画过渡参数,同上,同上,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/components/ModuleCard.vue` L6,"`:while-hover=""{ y: -4 }""`",`-4`,hover 位移,同上,同上,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/components/ModuleCard.vue` L7,"`:while-press=""{ scale: 0.98 }""`",`0.98`,按下缩放,同上,同上,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/components/ModuleCard.vue` L22,"`class=""... w-14 h-14 rounded-2xl ...""`","`w-14, h-14, rounded-2xl`",图标容器尺寸,Tailwind 类名硬编码,合理,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/components/ModuleCard.vue` L25,"`:size=""28""`",`28`,图标尺寸,魔法数字,提取为常量,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/components/ModuleCard.vue` L42,"`:size=""16""`",`16`,设置图标尺寸,同上,同上,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/components/ModuleCard.vue` L74-81,`MDI_TO_ICON` 映射表,`6 个 MDI→Icon 映射`,图标名转换,映射表硬编码,提取为配置文件,
九、布局与导航组件（补充）,2. Home.vue 与 ModuleCard.vue,`src/views/components/ModuleCard.vue` L84,`(MDI_TO_ICON[mdiName] \,\,"""home"") as IconName`","`""home""`",默认图标名,
十、综合分类统计（含补充扫描）,,类别,数量,风险等级,说明,,,
十、综合分类统计（含补充扫描）,,应用标识/版本号,5,**高**,多处重复（tauri.conf.json、Cargo.toml、index.html），需统一来源,,,
十、综合分类统计（含补充扫描）,,localStorage 键名,6,**中**,分散在各 store 中，需统一管理,,,
十、综合分类统计（含补充扫描）,,Tauri 事件名,12+,**高**,前后端事件名需严格一致，散布在 lib.rs、tauri.ts、各 composable 中,,,
十、综合分类统计（含补充扫描）,,MIDI 客户端名称,6,**中**,"""midi-jar-input/output/route/debug/virtual-input/virtual-output"" 多处重复",,,
十、综合分类统计（含补充扫描）,,窗口/布局尺寸,40+,**中**,DEFAULT_WIDTH/HEIGHT、min_inner_size、verticalGap、AppNavbar 尺寸、ModuleCard 尺寸等散布多处,,,
十、综合分类统计（含补充扫描）,,颜色值 (hex/oklch/rgba),35+,**中**,默认颜色硬编码在 constants、CSS、KeyboardRenderer (#666/#999)、NoteColorMapper、WaterfallEngine FPS 显示中,,,
十、综合分类统计（含补充扫描）,,国际化缺失字符串,12+,**高**,"""MIDI Files""、""Internal Modules""、错误消息、""preferred""、""unknown""、MDI 图标名等未走 i18n",,,
十、综合分类统计（含补充扫描）,,数据映射表,5,**低**,和弦数据、MIDI_CMD/CC、图标路径、MDI_TO_ICON、HAND_COLORS（数据性质，硬编码合理）,,,
十、综合分类统计（含补充扫描）,,流体/Shader 参数,30+,**低**,物理模拟参数，已有良好预设组织,,,
十、综合分类统计（含补充扫描）,,CSS 设计 Token,30+,**低**,已为 CSS 变量，是良好实践,,,
十、综合分类统计（含补充扫描）,,构建配置,5,**低**,vite.config.ts 参数，构建时使用,,,
十、综合分类统计（含补充扫描）,,**Notation 默认配置**（新增）,20+,**中**,defaultLayoutConfig 10 个尺寸、defaultStyleConfig 颜色、设置项 min/max/step 范围,,,
十、综合分类统计（含补充扫描）,,**CustomCursor 参数**（新增）,15+,**中**,INTERACTIVE_SELECTOR 11 个选择器、z-index、border-radius、尺寸范围,,,
十、综合分类统计（含补充扫描）,,**ChordDisplay 参数**（新增）,15+,**中**,midiChannel、namespace 前缀、min-h 像素值、设置项范围,,,
十、综合分类统计（含补充扫描）,,**WaterfallPiano 引擎参数**（新增）,60+,**中**,黑键比例、MIDI 范围、对象池容量、glow 动画阈值、splat 参数、音频包络、复音数等大量魔法数字,,,
十、综合分类统计（含补充扫描）,,**PianoKeyboard 工具函数**（新增）,10+,**低**,"CSS 类名字符串（""active""/""wrapped""/""tonic""/""info""）散布",,,
十、综合分类统计（含补充扫描）,,**MIDI 协议常量**（新增）,10+,**低**,0x80/0x90/0xb0/0xf0/64/127 等协议固定值，硬编码合理,,,
十、综合分类统计（含补充扫描）,,**重复定义常量**（新增）,8,**中**,BLACK_KEY_CLASSES/BLACK_KEY_WIDTH_RATIO 在 KeyboardRenderer 和 NoteBlockSystem 重复；DEFAULT_CUSTOM 在 constants.ts 和 NoteColorMapper 重复；BASE_SIZE 等在 classic/flat 重复,,,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.1 Notation 渲染辅助文件（此前遗漏）,"`src/components/Notation/renderer.ts` L142, L154, L234",`x: 0` (3 处),`0`,谱表 X 坐标硬编码为 0,与 layout.sidePadding 设计不一致,使用 `layout.sidePadding * scale` 替代,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.1 Notation 渲染辅助文件（此前遗漏）,`src/components/Notation/renderer.ts` L167,"`connector.setType(""single"")`","`""single""`",大谱表连接器类型,字符串字面量,抽为 `STAVE_CONNECTOR_TYPE` 常量,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.1 Notation 渲染辅助文件（此前遗漏）,"`src/components/Notation/renderer.ts` L172, L173","`getVoice(notes, ""treble"")` / `""bass""`","`""treble""`、`""bass""`",谱号字符串硬编码,与 StaveClef 类型重复,抽为 `CLEF_TREBLE`/`CLEF_BASS` 常量,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.1 Notation 渲染辅助文件（此前遗漏）,`src/components/Notation/renderer.ts` L253,`filterClef: false`,`false`,单谱表渲染时不按谱号过滤音符,布尔参数硬编码（用户指出）,抽为 `SINGLE_STAFF_FILTER_CLEF` 常量并注释,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.1 Notation 渲染辅助文件（此前遗漏）,`src/components/Notation/layout.ts` L63,`containerWidth * 0.8`,`0.8`,缩放比例下限 80%,魔法数字,抽为 `MIN_SCALE_RATIO = 0.8`,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.1 Notation 渲染辅助文件（此前遗漏）,"`src/components/Notation/layout.ts` L94, L96, L97",`trebleY = 0; bassY = 0; singleY = 0`,`0` (3 处),单谱表模式下的占位零值,占位值含义不明,抽为 `UNUSED_AXIS_PLACEHOLDER` 或注释说明,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.1 Notation 渲染辅助文件（此前遗漏）,`src/components/Notation/layout.ts` L124,`10 * scale`,`10`,noteStartX 额外偏移量,魔法数字，无注释,抽为 `NOTE_START_X_OFFSET = 10` 并注释,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.1 Notation 渲染辅助文件（此前遗漏）,`src/components/Notation/utils.ts` L15,`const NOTE_REGEX = /([a-g])(b\,#)?(\d+)/i`,正则表达式,音符字符串解析,正则硬编码,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.1 Notation 渲染辅助文件（此前遗漏）,`src/components/Notation/utils.ts` L16,"`const NOTE_C4_MIDI = Note.midi(""C4"") as number`","`""C4""`",中央 C 音名,与音乐理论常量重复,"抽为 `CENTRAL_C_NOTE = ""C4""`",
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.1 Notation 渲染辅助文件（此前遗漏）,`src/components/Notation/utils.ts` L39,"`midi >= NOTE_C4_MIDI ? ""treble"" : ""bass""`","`""treble""`、`""bass""`",谱号分配阈值,字符串字面量,与 renderer.ts 共享常量,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.1 Notation 渲染辅助文件（此前遗漏）,`src/components/Notation/utils.ts` L56,`filterClef = true`,`true`,默认按谱号过滤,默认布尔值,可接受,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.1 Notation 渲染辅助文件（此前遗漏）,`src/components/Notation/utils.ts` L72,"`duration: ""1""`","`""1""`",音符时值（全音符）,VexFlow 时值字符串,"抽为 `NOTE_DURATION_WHOLE = ""1""`",
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.1 Notation 渲染辅助文件（此前遗漏）,`src/components/Notation/utils.ts` L107,`transpose = 0`,`0`,默认不移调,默认值,可接受,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.2 MIDI 模块（前后端）,`src/midi/MidiDeviceManager.ts` L10-14,"`const MODULE_OUTPUTS = [""chord-dictionary"", ""chord-display/default"", ""debugger""]`",3 个模块名字符串,前端内部模块输出列表,与 Rust 端 `MODULE_OUTPUTS` 重复定义,前后端共享常量,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.2 MIDI 模块（前后端）,`src/midi/MidiDeviceManager.ts` L99-105,"`name: ""internal"", type: ""internal"", opened: true, connected: true, error: false`","`""internal""`、3 个布尔值",合并 internal 设备对象,字符串和布尔值散落,抽为 `INTERNAL_DEVICE` 工厂,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.2 MIDI 模块（前后端）,`src/midi/MidiDeviceManager.ts` L109,"`if (output.type === ""physical"")`","`""physical""`",物理设备类型判断,字符串字面量,抽为 `DEVICE_TYPE_PHYSICAL`,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.2 MIDI 模块（前后端）,"`src/midi/MidiMessageManager.ts` L18-22, L36, L46, L150","`""message""` (4 处)","`""message""`",事件类型字面量,字符串重复 4 次,抽为 `MIDI_MESSAGE_EVENT`,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.2 MIDI 模块（前后端）,`src/midi/EventEmitter.ts` L3,"`createLogger(""EventEmitter"")`","`""EventEmitter""`",日志通道名,与类名耦合,可接受,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.2 MIDI 模块（前后端）,`src-tauri/src/midi/mod.rs` L19,`const REFRESH_LOOP_INTERVAL_MS: u64 = 1000`,`1000` (ms),设备热插拔轮询间隔,固定值不可配置,支持运行时配置,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.2 MIDI 模块（前后端）,"`src-tauri/src/midi/mod.rs` L64, L65, L76, L103, L104, L174, L212, L224, L236, L248","`""midi:inputs""`、`""midi:outputs""`、`""midi:wires""` (多处)",3 个事件名重复 10+ 次,Tauri 事件名,大量重复字符串,抽为共享常量 `EVENT_MIDI_*`,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.2 MIDI 模块（前后端）,"`src-tauri/src/midi/mod.rs` L54-74, L110-172",多处 `debug!(...)` 日志模板,日志格式字符串,调试日志,模板散落，格式不统一,统一封装日志宏,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.2 MIDI 模块（前后端）,`src-tauri/src/midi/output_device.rs` L33,"`output_type: ""physical"".to_string()`","`""physical""`",默认设备类型,与前端重复,前后端共享常量,
十二、第三轮补充扫描发现（全项目逐文件扫描）,12.2 MIDI 模块（前后端）,"`src-tauri/src/midi/wire.rs` L6, `output_device.rs` L6, `route.rs` L8","`#[serde(rename = ""type"")]`","`""type""` (3 处)",序列化字段重命名,重复 3 次,可接受（serde 惯例）,
